Title,URL,Visited Date and Time,Total Time Spent (s),Total Time Spent (m)
"java hangout in youtube - Google Search","https://www.google.com/search?q=java+hangout+in+youtube&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyCQgFECMYJxjqAjIJCAYQIxgnGOoCMgYIBxBFGEDSAQ0yMTY0NTMxMDVqMWo3qAIHsAIB&sourceid=chrome&ie=UTF-8","2024-11-15 22:16:44",0.53,0.01
"java hangout in youtube - Google Search","https://www.google.com/search?q=java+hangout+in+youtube&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyCQgFECMYJxjqAjIJCAYQIxgnGOoCMgYIBxBFGEDSAQ0yMTY0NTMxMDVqMWo3qAIHsAIB&sourceid=chrome&ie=UTF-8","2024-11-15 22:16:44",0.98,0.02
"Java Hangout - YouTube","https://www.youtube.com/channel/UCuCMsH8xIiXXEW23-cNRVeg","2024-11-15 22:16:45",14.73,0.25
"Java Hangout - YouTube","https://www.youtube.com/channel/UCuCMsH8xIiXXEW23-cNRVeg","2024-11-15 22:17:00",0.01,0.00
"Spring Boot Microservices - What is Hystrix ? | Hystrix -Circuit Break Pattern | Hystrix Dashboard - YouTube","https://www.youtube.com/watch?v=AEZ5BKcJLKo&t=79s","2024-11-15 22:17:00",201.34,3.36
"java hangout in youtube - Google Search","https://www.google.com/search?q=java+hangout+in+youtube&rlz=1C1CHBF_enIN1134IN1134&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyCQgFECMYJxjqAjIJCAYQIxgnGOoCMgYIBxBFGEDSAQ0yMTc0MzMyNzVqMWo3qAIHsAIB&sourceid=chrome&ie=UTF-8","2024-11-15 22:33:04",0.51,0.01
"java hangout in youtube - Google Search","https://www.google.com/search?q=java+hangout+in+youtube&rlz=1C1CHBF_enIN1134IN1134&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyCQgFECMYJxjqAjIJCAYQIxgnGOoCMgYIBxBFGEDSAQ0yMTc0MzMyNzVqMWo3qAIHsAIB&sourceid=chrome&ie=UTF-8","2024-11-15 22:33:05",1.53,0.03
"Java Hangout - YouTube","https://www.youtube.com/channel/UCuCMsH8xIiXXEW23-cNRVeg","2024-11-15 22:33:06",9.38,0.16
"Java Hangout - YouTube","https://www.youtube.com/channel/UCuCMsH8xIiXXEW23-cNRVeg","2024-11-15 22:33:15",0.01,0.00
"Java Hangout - YouTube","https://www.youtube.com/@javahangout4648/videos","2024-11-15 22:33:15",12.48,0.21
"Converting Object into JSON String & JSON String into Object by using Jackson API - YouTube","https://www.youtube.com/watch?v=Bq7WBXd6gEg","2024-11-15 22:33:28",420.20,7.00
"XML Schema Part 2: Datatypes Second Edition","http://www.w3.org/TR/xmlschema-2/#string","2024-11-16 00:14:25",0.00,0.00
"XML Schema Part 2: Datatypes Second Edition","https://www.w3.org/TR/xmlschema-2/#string","2024-11-16 00:14:25",358.96,5.98
"chatgpt - Google Search","https://www.google.com/search?q=chatgpt&rlz=1C1CHBF_enIN1134IN1134&oq=chartgh&gs_lcrp=EgZjaHJvbWUqDAgBEAAYChixAxiABDIGCAAQRRg5MgwIARAAGAoYsQMYgAQyDAgCEAAYChixAxiABDIMCAMQABgKGLEDGIAEMgwIBBAAGAoYsQMYgAQyDAgFEAAYChixAxiABDIPCAYQABgKGIMBGLEDGIAEMg8IBxAAGAoYgwEYsQMYgAQyCQgIEAAYChiABDIPCAkQABgKGIMBGLEDGIAE0gEINzc2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8","2024-11-16 15:52:57",0.59,0.01
